COD_ACCIDE;FechaDelAccidente;HoraDelAccidente;ClaseDelAccidente;SecuenciaAccidente;CantidadDeFallecidos;CantidadDeLesionados;Direccion;LugarReferencia;y;x;CondClimatica;CausaFactorPrincipal;CausaEspecifica;OtraCausa;Observaciones
A-2021-01-161;21/01/2021;14:00;DESPISTE;SUBSECUENTE VOLCADURA;1;3;CARRETERA DE PENETRACION PIURA - HUANCABAMBA KM.22 420.;;-5.283625;-79.9524199;DESPEJADO;IMPRUDENCIA DEL CONDUCTOR;EXCESO DE VELOCIDAD;;
A-2021-01-169;04/01/2021;15:55;ESPECIAL;LA VIA DONDE SE PRODUJERON LOS HECHOS SE OBSERVAN DOS HUELLAS DEJADAS POR LOS NEUMATICOS DE LOS VEHICULOS QUE SE DIRIGEN HACIA LOS BOSQUES PARA PODER EXTRAER LA MADERA Y RAMAS, QUE NO CUENTA CON LA MINIMA CONDICION PARA CIRCULAR AL HABER SIDO IMPROVISADO, TORNÁNDOSE A UN MAS PELIGROSA;1;0;SECTOR CHACHACOMAYO PATA DE LA CUMUNIDAD MASKA DEL DISTRITO DE PISAC;-;-13.23482805;-71.49185821194068;DESPEJADO;NEGLIGENCIA DEL CONDUCTOR;OTRO (NEGLIGENCIA DEL CONDUCTOR);POR NO ALINEAR EL ESPEJO RETROVISOR DEL LADO DERECHO;LA VÍA FUE CREADA PARA EL TRASLADO DE MADERA MAS NO ES DE TRANSPORTE
A-2021-01-17;03/01/2021;16:10;DESPISTE;DESPISTE CON SUBSECUENTE CHOQUE CON MUERTE, LESIONES GRAVES;1;3;KM. 86.04010 DE LA CARRETERA REGIONAL HUAURA - SAYAN - CHURIN;PACCHO TINGO;-10.8870694;-76.98079339602495;LLUVIOSO;IMPRUDENCIA DEL CONDUCTOR;EXCESO DE VELOCIDAD;;CARRETERA SINUOSA, EN ESTE TIEMPO PRESENCIA DE LLUVIA 
A-2021-01-170;22/01/2021;21:00;CHOQUE;CHOQUE POR ALCANCE FATAL;1;0;CARRETERA AREQUIPA-YURA ALTURA ASOCIACION APIMA 2;FRONTIS DEL INMUEBLE MZ-B LOTE 11 CERRO COLORADO;-16.3180079;-71.6027605;DESPEJADO;IMPRUDENCIA DEL CONDUCTOR;OTRO (IMPRUDENCIA DEL CONDUCTOR);DESATENCIÓN EN LA CONDUCCIÓN;EL ACCIDENTE OCURRIO EJN CIRCUNSTANCIAS QUE LA UT-2 SE ENCONTRABA ESTACIONADO DONE LA UT-1 NO MANTIENE SU DISTANCIA E IMPACTA CON LA UT-2 CON SU TERCIO ANTERIOR 
A-2021-01-176;23/01/2021;20:25;DESPISTE;DESPISTE, ATROPELLO POR PROYECCION FATAL;2;0;VIA DE IVITAMIENTO;KM. 3.7;-16.3944495;-71.5835;DESPEJADO;;;;EL ACCIDENTE DE TRANSITO OCURRIO CUANDO LA UT-1 SE DESPISTA LOGRANDO IMPACTAR A LA UT-2 Y LA UT-3, PROYECTANDOLOS, A AMBOS CAUSANDO LA MUERTE INMEDIATA DE LA UT2 Y FALLECIENDO LUEGO LA UT3 EN EL CENTRO DE SALUD.   
A-2021-01-177;21/01/2021;16:40;DESPISTE;VOLCADURA;1;3;CARRETERA PANAMERICANA SUR KM. 332;ANTES DE LA ENTRADA A OCUCAJE;-14.33265468;-75.664020917132;DESPEJADO;NEGLIGENCIA DEL CONDUCTOR;CONDUCIR CON FALLAS DE NEUMÁTICOS;;
A-2021-01-186;24/01/2021;19:00;ATROPELLO FUGA;ATROPELLO Y FUGA FATAL CON CAIDA DE OCUPANTE CON LESIONES;1;1;AV. JESUS CDRA. 8 PAUCARPATA;INTERSECCION AV. JESUS/CALLE ABRAHAM VALDELOMAR;-16.414171;-71.509877;DESPEJADO;IMPRUDENCIA DEL CONDUCTOR;EXCESO DE VELOCIDAD;;EL ACCIDENTE DE TRANSITO OCURRIO EN CIRCUNSTANCIAS QUE LA UT2 (PEATON) REALIZABA EL CRUCE DE LA AV. JESUS, MOMENTOS EN QUE LA UT1 (MOTOCICLETA NO IDENTIFICADA) HACE SU APARICION E IMPACTA A LA UT2 EL CUAL CAE A LA CALZADA, MIENTRAS QUE LA UT1 SE DESESTABILIZA Y SU OCUPANTE CAE SOBRE LA CALZADA SUFRIENDO LESIONES, MIENTRAS QUE LA UT2 FALLECE EN EL LEGAR DE LOS HECHOS.
A-2021-01-187;07/01/2021;12:31;DESPISTE;DESPISTE, CHOQUE Y VOLCADURA;1;0;MARANURA. SECTOR LUICHU;HITO KILOMETRAJE 20012;-12.58222;-72.39343;DESPEJADO;NO IDENTIFICA LA CAUSA;;;
A-2021-01-188;09/01/2021;08:00;CHOQUE;CHOQUE Y VOLCADURA;1;1;SECTOR HUAYLLAPATA;COMUNIDAD DE LLUSKU;-14.255447;-72.051308;DESPEJADO;NO IDENTIFICA LA CAUSA;;;
A-2021-01-193;24/01/2021;08:20;CHOQUE;;1;5;CARRETERA FERNANDO BELAUNDE TERRY  ALTURA DEL KILOMETRO 662 ;;-6.92500353;-76.34251605692607;LLUVIOSO;IMPRUDENCIA DEL CONDUCTOR;INVASIÓN DE CARRIL;;NINGUNA
A-2021-01-195;24/01/2021;20:10;DESPISTE;CAIDA Y SOBREPASO DE CONDUCTOR;1;0;AV. NESTOR GAMBETTA /AV. NEPTUNO;PARADERO PUNTO DE QUIEBRE;-11.88189236;-77.12626527470516;DESPEJADO;NO IDENTIFICA LA CAUSA;;;AACIDENTE DE TRANSITO DESPISTE CAIDA Y SOBREPASO DEL CONDUCTOR
A-2021-01-196;17/01/2021;11:31;DESPISTE;DESPISTE, VOLCADURA Y SUMERCION;5;3;COMUNIDAD SECTOR HUMANA Y PAYAJANA;-;-13.234828;-71.491858;LLUVIOSO;NEGLIGENCIA DEL CONDUCTOR;OTRO (NEGLIGENCIA DEL CONDUCTOR);VELOCIDAD INAPROPIADA;
A-2021-01-197;15/01/2021;06:00;DESPISTE;DESPISTE Y VOLCADURA;1;3;SECTOR SARASARAYOC;-;-13.014916;-72.184;NUBLADO;NEGLIGENCIA DEL CONDUCTOR;OTRO (NEGLIGENCIA DEL CONDUCTOR);CAJA EN PUNTO NEUTRO;
A-2021-01-198;23/01/2021;23:30;ATROPELLO FUGA;OCASIONADO POR UN VEHÍCULO NO IDENTIFICADO;1;0;CARRETERA SICUANI MARANGANI;-;-14.304823;-71.000242;LLUVIOSO;NEGLIGENCIA DEL CONDUCTOR;OTRO (NEGLIGENCIA DEL CONDUCTOR);VELOCIDAD INAPROPIADA YA QUE SE ENCONTRABA CON PRESENCIA DE LLUVIAS;
A-2021-01-199;24/01/2021;02:10;CHOQUE;-;1;0;CARRETERA PANAMERICANA SUR KM. 328;ENTRADA A LA SAMNTA DOMINGUITA ;-14.27824327;-75.68278177837077;DESPEJADO;IMPRUDENCIA DEL CONDUCTOR;EXCESO DE VELOCIDAD;;
A-2021-01-203;24/01/2021;22:30;CHOQUE;ACCIDENTE DE TRANSITO MIXTO-CHOQUE POR EMBISTE, SUBSECUENTE VOLCADURA;2;1;INTERSECCIÓN DE LA AV. CENTENARIO CON LA AV. AVIACION;ESQUINA DE LA CLÍNICA DENTAL VITALDENT ;-8.388567481;-74.56509945130679;DESPEJADO;IMPRUDENCIA DEL CONDUCTOR;OTRO (IMPRUDENCIA DEL CONDUCTOR);INGRESAR A UNA VÍA QUE NO LE ASISTÍA EL DERECHO DE PASO;"CONDUCTOR DE LA UT-1 CON PRESENCIA DE ALCOHOL DE 0.20 G/L ; Y EL CONDUCTOR DE LA UT-2 CON PRESENCIA DE ALCOHOL DE 0.15 G/L."
A-2021-01-205;23/01/2021;02:47;CHOQUE;-;1;2;AV. BOHEMIA TACNEÑA CON LA AV. LOS MOLLES;MISMA INTERSECCIÓN;-18.050638;-70.251433;SOLEADO;IMPRUDENCIA DEL CONDUCTOR;OTRO (IMPRUDENCIA DEL CONDUCTOR);PASARSE LA LUZ ROJA DEL SEMAFORO ;CORRECCIÓN EN LA HORA DEL ACCIDENTE DE TRANSITO, EL CUAL OCURRIÓ A LAS 14:47 
A-2021-01-207;26/01/2021;18:00;ESPECIAL;-;1;0;AV. BINACIONAL CUADRA Nº 16 ;ALTURA DEL CEBAF;-16.58229113;-69.06036235;DESPEJADO;IMPRUDENCIA DEL CONDUCTOR;INVASIÓN DE CARRIL;;
A-2021-01-209;14/01/2021;17:00;CAÍDA DE PASAJERO;-;1;0;CARRETERA INDUSTRIAL ALTURA DEL KM. 06 ;CARRETERA DE PENETRACION A LA SIERRA LIBERTEÑA;-8.099108;-78.982811;DESPEJADO;NEGLIGENCIA DEL CONDUCTOR;CONDUCIR CON FALLAS DE CARROCERÍA;;
A-2021-01-21;02/01/2021;08:45;CHOQUE;APLASTAMIENTO;1;0;INTERSECCION DE LA AV. PROLONGACION CHULUCANAS AV. RAUL MATA DE LA CRUZY JOSE AGUILAR;GRIFO PRIMAX;-5.164955595;-80.65128116025174;DESPEJADO;IMPRUDENCIA DEL CONDUCTOR;NO ESTABLECER EL DERECHO DE PASO;;
A-2021-01-210;16/01/2021;19:50;ATROPELLO;-;1;0;AV AMERICA SUR CDRA. 15;FRONTIS DEL INMUEBLE 1578 CUADRA 15;-8.116272;-79.016396;DESPEJADO;NO IDENTIFICA LA CAUSA;;;OFICIO NRO. 134-2022-3FPPC-T-OVG(1210-2021), DE FECHA 03MAR2021, DE LA 3RA FPPCT EL DR. OMAR VERASTEGUI GALVEZ FISCAL ADJUNTO DE LA 3FPPCT: COMUNICA QUE HA SIDO ARCHIVADO EL CASO, MEDIANTE DISPOSICION DE FECHA 15SET2021.
A-2021-01-214;26/01/2021;19:10;ATROPELLO;-;1;0;AVENIDA CIRCUNVALACION ;CERCA AL JIRON ILAVE-PUNO;-15.844639;-70.028528;DESPEJADO;IMPRUDENCIA DEL PEATÓN;CRUCE INDEBIDO POR LA CALZADA;;
A-2021-01-216;11/01/2021;20:00;DESPISTE;SEGUIDO DE CAIDA AL RIO MARRAÑON;1;0;CARRETERA DE PENETRACION A SHICÚN;-;-7.692107;-77.663357;DESPEJADO;NO IDENTIFICA LA CAUSA;;;
A-2021-01-217;18/01/2021;08:25;CHOQUE;CHOQUE FRONTAL;1;7;SECTOR QERORA;KILÓMETRO 26   200;-13.623972;-71.58057;DESPEJADO;NEGLIGENCIA DEL CONDUCTOR;OTRO (NEGLIGENCIA DEL CONDUCTOR);VELOCIDAD INAPROPIADA;
A-2021-01-218;23/01/2021;19:50;ATROPELLO;ATROPELLO VEHICULO QUE SE DESPLAZABA DE SURESTE A NORESTE;1;0;CARRETERA CUSCO- OLLANTAYTAMBO;-;-13.258314;-72.250823;DESPEJADO;IMPRUDENCIA DEL CONDUCTOR;EXCESO DE VELOCIDAD;;
A-2021-01-22;01/01/2021;17:45;CHOQUE;;1;1;INTERSECCIÓN DEL JR. 2 DE MAYO Y ARICA;;-6.063829;-77.171368;LLUVIOSO;IMPRUDENCIA DEL CONDUCTOR;CONDUCIR EN SENTIDO CONTRARIO;;EN INVESTIGACION
A-2021-01-225;17/01/2021;20:15;CHOQUE;-;1;3;CARRETERA PANAMERICANA NORTE ALTURA DEL KM. 716;-;-7.16757;-79.440498;DESPEJADO;NO IDENTIFICA LA CAUSA;;;
A-2021-01-226;02/01/2021;13:00;CHOQUE;VOLCADURA ;1;0;KM 46 850;RED VIAL INTEROCEANICA SUR ;-14.92116;-70.204043;LLUVIOSO;IMPRUDENCIA DEL CONDUCTOR;OTRO (IMPRUDENCIA DEL CONDUCTOR);EL AFECTAR UN UN VIAJE INADECUADO POR UNA ZONA NO APROPIADA;UT1 NO TENER CUIDADO CON LOS VEHICULOS QUE CIRCULAN A SU ALREDEDOR
A-2021-01-229;27/01/2021;07:30;ATROPELLO;-;1;0; AV. JORGE BASADRE CUADRA N°19;ALTURA CON LA INTERSECCIÓN DE LA CALLE SANTA ANA;-18.00906;-70.231249;DESPEJADO;IMPRUDENCIA DEL PEATÓN;ESTADO DE EBRIEDAD Y/O DROGADICCIÓN;;CORRECCIÓN EN LA HORA DEL ACCIDENTE DE TRANSITO, EL CUAL OCURRIÓ A LAS 19:30 
A-2021-01-23;01/01/2021;04:40;DESPISTE;DESPISTE CON SUBECUENTE CHOQUE;1;0;CARRETERA VECINAL JECUAN - TREVOL ;CC.PP. JECUAN ;-11.48287924;-77.25554675971524;DESPEJADO;NO IDENTIFICA LA CAUSA;;;SE INVESTIGA 
A-2021-01-231;06/01/2021;06:05;ATROPELLO;-;1;0;KM 41 163;ALTURA PUENTE RAMIS ;-15.257925;-69.876396;LLUVIOSO;IMPRUDENCIA DEL PEATÓN;OTRO (IMPRUDENCIA DEL PEATÓN);NO TOMAR MEDIDAS DE SEGURIDAD, CRUZAR LA CALZADA SIN HABER ELIMINADO RIESGOS PRESENTES Y POSIBLES ;UT1 NO TENER CUIDADO Y PRECAUCIÓN CON LOS PEATONES 
A-2021-01-232;11/01/2021;13:45;DESPISTE;CHOQUE SEGUIDO DE VOLCADURA EN TONEL IZQUIERDO ;1;1;KM 276 920;SECTOR SAN MIGUEL ;-15.61733324;-70.32051956332245;DESPEJADO;IMPRUDENCIA DEL CONDUCTOR;OTRO (IMPRUDENCIA DEL CONDUCTOR);NEGLIGENCIA  DEL CONDUCTOR PARA LAS CIRCUNSTANCIAS DEL LUGAR Y MOMENTO DEJANDO DE RECONOCER LOS PELIGROS EXISTENTES Y NO REDUCIR SU VELOCIDAD EN CORTO ESPACIO;LA ALTERACION DEL ESTADO PSICOMOTOR DEL CONDUCTOR , POR LA INGESTA DE BEBIDAS ALCOHOLICAS CON RESULTADO DE 0.96 G/L
A-2021-01-234;25/01/2021;04:40;CHOQUE;-;1;0;CARRETERA DE PENETRACION AL SANTUARIO DEL ROSARIO DE YAUCA ;KM. 11 APROXIMADAMENTE;-14.14110444;-75.634732734369;DESPEJADO;IMPRUDENCIA DEL CONDUCTOR;EXCESO DE VELOCIDAD;;
A-2021-01-236;13/01/2021;10:30;DESPISTE;SEGUIDO DE CHOQUE FRONTAL Y CAÍDA DE CONDUCTOR ;1;0;KM 2 SECTOR MURU AYA ;COMUNIDAD DE CHAUPI AYLLU;-14.362895;-69.605853;NUBLADO;IMPRUDENCIA DEL CONDUCTOR;EXCESO DE VELOCIDAD;;HORA DEL EVENTO DE TRANSITO CON VISIBILIDAD RESTRIGIDA POR FACTOR CLIMATICO
A-2021-01-237;27/01/2021;16:00;DESPISTE;CHOQUE-VOLCADURA;1;0;CARRETERA PANAMERICAN NORTE KM 791 500;FRONTIS DEL GRIFO MORI;-6.737074;-79.881409;SOLEADO;NO IDENTIFICA LA CAUSA;;;
A-2021-01-238;14/01/2021;22:50;DESPISTE;DESPÍSTE Y VOLCADURA;2;0;LUGAR DENOMINADO CANTERA JURIDICCION DE LA COMUNIDAD CUSIBAMBA;PUENTE CUSIBAMBA;-13.819589;-71.832778;NUBLADO;IMPRUDENCIA DEL CONDUCTOR;EXCESO DE VELOCIDAD;;
A-2021-01-239;26/01/2021;21:00;DESPISTE;DESPISTE VOLCADURA CHOQUE FATAL;1;0;AV. INGLATERRRA;FRENTE INMUEBLE N-25;-16.4342491;-71.5302518;DESPEJADO;IMPRUDENCIA DEL CONDUCTOR;OTRO (IMPRUDENCIA DEL CONDUCTOR);"DESATENCIÓN MOMENTANEA; VELOCIDAD NO ADECUADA";EL ACCIDENTE DE TRANSITO OCURRIO EN CIRCUNSTANCIAS QUE LA UT1 DE DESPISTA PRODUCIENDOCE LA VOLCADURA E IMPACTA CON UN MURO PRODUCIENDOLE LA MUERTE AL CONDUCTOR DE LA UT1
A-2021-01-240;18/01/2021;13:30;CHOQUE;-;2;2;KM 1306 92;CARRETERA RED VIAL PANAMERICANA SUR CUSCO-JULIACA;-15.4318244;-70.1419972;DESPEJADO;NEGLIGENCIA DEL CONDUCTOR;OTRO (NEGLIGENCIA DEL CONDUCTOR);AL DESPLAZAR SU UNIDAD VEHICULAR A UNA VELOCIDAD MAYOR DE LO RAZONABLE Y PERMITIDA ;NINGUNA 
A-2021-01-241;19/01/2021;07:00;ATROPELLO;MUERTE DEL PEATON;1;0;CARRETERA CENTRAL LA OROYA - JAUJA ALTURA DEL KM 67 250;CENTRO DE SALUD DE PARCO;-11.7990963;-75.5462135;DESPEJADO;IMPRUDENCIA DEL PEATÓN;CRUCE INDEBIDO POR LA CALZADA;;LA ACCION IMPRUDENTE DE LOS FAMILIARES DE LA UT-2(PEATÓN) AL DEJAR TRANSITAR POR LA VIA A UN ADULTO MAYOR SIN LA COMPAÑIA Y SUPERVISION DE PERSONAS APTAS
A-2021-01-242;26/01/2021;19:45;ATROPELLO;CON PROYECCION, FATAL, LESIONES Y DAÑOS MATERIALES.;1;0;CARRETERA BINACIONAL ; ASOC. SOL ETERNO FRONTIS DEL DOMICILIO MZ-F LT—09 C.P. CHEN CHEN;-17.20663;-70.921486;DESPEJADO;IMPRUDENCIA DEL PEATÓN;CRUCE INDEBIDO POR LA CALZADA;;"ACCIDENTE DE TRANSITO CON CONSECUENCIA FATAL, LESIONES Y DAÑOS MATERIALES, CON PARTICIPACION DEL VEHICULO DE PLACA DE RODAJE V3K-511 CONDUCIDO POR LA PERSONA DE JOSE CARLOS CHAVEZ ACHARTE, EN AGRAVIO DE LA PERSONA A.	ARMELIA PALACIOS CCOPA (54)."
A-2021-01-243;27/01/2021;14:17;CHOQUE;;1;2;JR.GREGORIO DELGADO - JR. RICARDO PALMA;;-6.490228514;-76.35934169721354;DESPEJADO;NEGLIGENCIA DEL CONDUCTOR;OTRO (NEGLIGENCIA DEL CONDUCTOR);FAL DEBER DE CUIDADO Y PREVENCION;NINGUNA
A-2021-01-244;23/01/2021;19:30;VOLCADURA;-;2;4;CARRETERA A OCOBAMBA KM. 5;-;-13.968207;-75.049075;DESPEJADO;INFRAESTRUCTURA Y ENTORNO VIAL;SUPERFICIE DETERIORADA;;
A-2021-01-245;16/01/2021;12:30;CHOQUE;LA MUERTE DEL CONDUCTOR;1;4;CARRETREA CENTRAL JAUJA LA OROYA KM.61 600;PUENTE MATACHICO;-11.7902744;-75.5797941;SOLEADO;IMPRUDENCIA DEL CONDUCTOR;EXCESO DE VELOCIDAD;;LA INVASION DE CARRIL POR PARTE DEL CONDUCTOR DEL VEHICULO DE PLACA DE RODAJE N°W3D-603, ACCION QUE SE SUSCITO DEBIDO A UNA MANIOBRA SUBITA EN EL DESARROLO DE SU CONDUCCION, LO QUE CONLLEVO A DESENCADENAR EL EVENTO.
A-2021-01-246;22/01/2021;16:00;CHOQUE;MUERTE DEL OCUPANTE;1;2;BARRIO FLORIDA ALTURA DEL INMUEBLE CON SUMINISTRO N°75241236;-----------;-12.551354;-74.5466811;SOLEADO;;;;
A-2021-01-247;30/01/2021;04:00;ATROPELLO FUGA;ATROPELLO Y FUGA DEL CONDUCTOR Y LA UNIDAD PARTICIPANTE ;1;0;KM. 142.020 DE LA CARRETERA PANAMERICANA NORTE;ALTURA DEL C.P. EL PARAISO;-11.16928683;-77.58567814112875;DESPEJADO;NO IDENTIFICA LA CAUSA;;;FUGA DEL VEHICULO CAUSANTE
A-2021-01-248;01/01/2021;05:45;DESPISTE;CHOQUE Y VOLCADURA;1;3;AV. MANUEL VALLE;PUERTA N° 02 DEL CANAL;-12.2294;-76.859412;DESPEJADO;IMPRUDENCIA DEL CONDUCTOR;CONDUCIR EN ESTADO DE EBRIEDAD Y/O DROGADICCIÓN;;
A-2021-01-25;05/01/2021;23:00;ATROPELLO FUGA;SE PRODUJO EN LA CALZADA OESTE DE LA CARRETERA PANAMERICANA NORTE, ATROPELLO Y FUGA DEL VEHICULO Y CONDUCTOR CAUSENTE DEL EVENTO;1;0;KM. 189.290 DE LA CARRETERA PANAMERICANA NORTE ;ALTURA DEL GRIFO PRIMAX ;-10.78898144;-77.71142585156548;DESPEJADO;NO IDENTIFICA LA CAUSA;;;SE INVESTIGA 
A-2021-01-254;01/01/2021;14:00;ATROPELLO;-;1;1;AV. PACHACUETEC CDRA 18 CON JR. SAN MARTIN;-;-12.164406;-76.953426;DESPEJADO;IMPRUDENCIA DEL CONDUCTOR;CONDUCIR EN ESTADO DE EBRIEDAD Y/O DROGADICCIÓN;;
A-2021-01-258;03/01/2021;00:35;ATROPELLO FUGA;-;1;0;CARRETERA PANAMERICANA SUR KM. 19.500;-;-12.225604;-76.971698;SOLEADO;NO IDENTIFICA LA CAUSA;;;
A-2021-01-26;02/01/2021;09:40;CHOQUE;;1;1;AV. NICOLÁS AYLLÓN CARRETERA CENTRAL KM.146 700;CENTRO POBLADO PUCARA;-11.5916549;-76.0752901;DESPEJADO;;;;
