Codigo_Unico;UBIGEO;DEPARTAMENTO;PROVINCIA;DISTRITO;LATITUD;LONGITUD;nombre_establecimiento;Direccion;Categoria;Competencia_Via;Competencia Administrativa;Siniestros_fatales
29237;150201;LIMA;BARRANCA;BARRANCA;-10.7525374;-77.7599218;POLICLINICO SANTA FE DEL DR. CARRION;AVENIDA NICOLAS DE PIEROLA NUMERO 149 DISTRITO BARRANCA PROVINCIA BARRANCA DEPARTAMENTO LIMA;I-3;DISTRITAL;PROVINCIAL;0
3604;50113;AYACUCHO;HUAMANGA;TAMBILLO;-13.16080108;-74.17011962;PUESTO DE SALUD HUAYHUACONDO;OTROS COMUNIDAD GUAYACONDO DISTRITO TAMBILLO PROVINCIA HUAMANGA DEPARTAMENTO AYACUCHO;I-1;PROVINCIAL;DISTRITAL;0
2819;180301;MOQUEGUA;ILO;ILO;-17.65185454;-71.34179435;C.S. ALTO ILO;OTROS CHALACA S/N ALTO ILO NUMERO S/N DISTRITO ILO PROVINCIA ILO DEPARTAMENTO MOQUEGUA;I-3;DISTRITAL;PROVINCIAL;0
11421;100101;HUANUCO;HUANUCO;HUANUCO;-9.9202368;-76.2395784;POLICLINICO POLICIAL HUAÄNUCO;JR. LEONCIO PRADO NRO 1840 DISTRITO HUANUCO PROVINCIA HUANUCO DEPARTAMENTO HUANUCO;I-3;DISTRITAL;PROVINCIAL;0
12557;40126;AREQUIPA;AREQUIPA;YANAHUARA;-16.39073134;-71.54347701;CONSULTORIO MEDICO DE PEDIATRIA Y NEONATOLOGIA;AVENIDA EDIFICIO NAYSA II OFICINA 205. CALLE LIMA 100 ESQUINA AV. EJERCITO DISTRITO YANAHUARA PROVINCIA AREQUIPA DEPARTAMENTO AREQUIPA;I-2;PROVINCIAL;DISTRITAL;0
11109;131201;LA LIBERTAD;VIRU;VIRU;-8.42314602;-78.78100527;POLICLINICO VIRGEN DEL CARMEN;AVENIDA AVENIDA VIRU 2130 PUENTE VIRU-VIRU DISTRITO VIRU PROVINCIA VIRU DEPARTAMENTO LA LIBERTAD;I-3;DISTRITAL;PROVINCIAL;0
10986;240101;TUMBES;TUMBES;TUMBES;-3.5473191;-80.4004827;UNIDAD CLINICA;AVENIDA AV. PANAMERICANA NORTE KM 1275. PUERTO EL CURA. TUMBES DISTRITO TUMBES PROVINCIA TUMBES DEPARTAMENTO TUMBES;I-3;DISTRITAL;PROVINCIAL;0
10921;150137;LIMA;LIMA;SANTA ANITA;-12.0514708;-76.9660847;CENTRO CARDIOLOGICO CORAZAìN DE JESUS;AVENIDA AV. RUISEAëORES 476 - URB. SANTA ANITA DISTRITO SANTA ANITA PROVINCIA LIMA DEPARTAMENTO LIMA;I-3;PROVINCIAL;DISTRITAL;0
1321;40119;AREQUIPA;AREQUIPA;SAN JUAN DE TARUCANI;-16.32152491;-71.15115141;PUESTO DE SALUD SALINAS HUITO;PLAZA PLAZA PRINCIPAL S/N SALINAS HUITO S/N PLAZA PRINCIPAL S/N SALINAS HUITO SAN JUAN DE TARUCANI AREQUIPA AREQUIPA;I-1;PROVINCIAL;DISTRITAL;0
1328;40108;AREQUIPA;AREQUIPA;LA JOYA;-16.48952679;-71.81430494;PUESTO DE SALUD LOS MEDANOS;OTROS PPJJ LOS MEDANOS FRENTE A LA CANCHA DISTRITO LA JOYA PROVINCIA AREQUIPA DEPARTAMENTO AREQUIPA;I-1;PROVINCIAL;DISTRITAL;0
29464;160101;LORETO;MAYNAS;IQUITOS;-3.74843228;-73.25087622;CENTRO DE ATENCIAìN MEDICA ESPECIALIZADA CARDIO VIDA E.I.R.L;FANNING NUMERO 340 DISTRITO IQUITOS PROVINCIA MAYNAS DEPARTAMENTO LORETO;I-3;DISTRITAL;PROVINCIAL;0
3776;50408;AYACUCHO;HUANTA;LLOCHEGUA;-12.40054333;-73.91158833;PUESTO DE SALUD PUERTO AMARGURA;CALLE CALLE PRINCIPAL PUERTO AMARGURA DISTRITO LLOCHEGUA PROVINCIA HUANTA DEPARTAMENTO AYACUCHO;I-1;PROVINCIAL;DISTRITAL;0
4377;140312;LAMBAYEQUE;LAMBAYEQUE;TUCUME;-6.47903;-79.87862667;PUESTO DE SALUD CHIRIMOYO;OTROS SECTOR CHIRIMOYO BAJO S/N NUMERO S/N DISTRITO ILLIMO PROVINCIA LAMBAYEQUE DEPARTAMENTO LAMBAYEQUE;I-2;PROVINCIAL;DISTRITAL;0
5990;150108;LIMA;LIMA;CHORRILLOS;-12.1692159;-77.0240399;CENTRO DE SALUD GUSTAVO LANATTA LUJAN;AVENIDA AV. DEFENSORES DEL MORRO (EX HUAYLAS) N∫556 AV. DEFENSORES DEL MORRO (EX HUAYLAS) N∫556 CHORRILLOS LIMA LIMA;I-3;PROVINCIAL;DISTRITAL;2
29170;150137;LIMA;LIMA;SANTA ANITA;-12.0400902;-76.9703992;POLICLINICO GARCILASO DE LA VEGA SERVICIO PREMIUM;AVENIDA LOS CHANCAS NUMERO 153 MANZANA B1 LOTE 27 URBANIZACION LOS CHANCAS DE ANDAHUAYLAS DISTRITO SANTA ANITA PROVINCIA LIMA DEPARTAMENTO LIMA;I-3;PROVINCIAL;DISTRITAL;0
6251;70104;CALLAO;CALLAO;LA PERLA;-12.06920504;-77.12476464;PUESTO DE SALUD  LA PERLA;OTROS ALFONSO UGARTE N∫ 1150 ALFONSO UGARTE N∫ 1150 LA PERLA CALLAO CALLAO;I-2;PROVINCIAL;DISTRITAL;0
30536;230104;TACNA;TACNA;CIUDAD NUEVA;-17.9821941;-70.235943;consultorio odontolA≥gico virgen de FA°tima;CALLE daniel alcides carrion manzana 54 lote 18 comite 14 PISO 3 MANZANA 54 LOTE 14 DISTRITO CIUDAD NUEVA PROVINCIA TACNA DEPARTAMENTO TACNA;I-1;PROVINCIAL;DISTRITAL;0
6233;70101;CALLAO;CALLAO;CALLAO;-12.0265051;-77.12919833;PUESTO DE SALUD JUAN PABLO II;AVENIDA AA.HH.JUAN PABLO II  (ALT.AV.GAMBETTA KM 2.5) DISTRITO CALLAO PROVINCIA CALLAO DEPARTAMENTO CALLAO;I-2;PROVINCIAL;PROVINCIAL;0
5808;150135;LIMA;LIMA;SAN MARTIN DE PORRES;-11.972234;-77.106448;PUESTO DE SALUD  CERRO CANDELA;AVENIDA AV FELIPE DE LAS CASAS MZ B1 LT 9 - AAHH CERRO CANDELA DISTRITO SAN MARTIN DE PORRES PROVINCIA LIMA DEPARTAMENTO LIMA;I-2;PROVINCIAL;DISTRITAL;0
6239;70101;CALLAO;CALLAO;CALLAO;-12.00969499;-77.09673001;CENTRO DE SALUD SESQUICENTENARIO;CALLE 7 Y 14 NUMERO S/N URBANIZACION sesquicentenario DISTRITO CALLAO PROVINCIA CALLAO DEPARTAMENTO CALLAO;I-3;PROVINCIAL;PROVINCIAL;0
5688;150201;LIMA;BARRANCA;BARRANCA;-10.7585733;-77.7532659;PUESTO DE SALUD CHAQUILA;CALLE CALLE FERROCARRIL N∫ 617 - CHAQUILA CALLE FERROCARRIL N∫ 617 - CHAQUILA BARRANCA BARRANCA LIMA;I-2;DISTRITAL;PROVINCIAL;0
7304;50407;AYACUCHO;HUANTA;SIVIA;-12.539309;-73.940432;PUESTO DE SALUD ROSARIO ACON;PLAZA PLAZA PRINCIPAL DE ROSARIO ACON DISTRITO SIVIA PROVINCIA HUANTA DEPARTAMENTO AYACUCHO;I-1;PROVINCIAL;DISTRITAL;0
29324;60101;CAJAMARCA;CAJAMARCA;CAJAMARCA;-7.1617465;-78.5127855;"CENTRO ODONTOLOGICO ""DIAMANTE DENTAL""";PROGRESO NUMERO 746 PISO 1 DISTRITO CAJAMARCA PROVINCIA CAJAMARCA DEPARTAMENTO CAJAMARCA;I-3;PROVINCIAL;PROVINCIAL;0
8543;150103;LIMA;LIMA;ATE;-12.01233157;-76.8240951;CONSULTORIO MEDICO GONZALES;AVENIDA AV.15 DE JULIO LTE 4 MZ B HUAYCAN DISTRITO ATE PROVINCIA LIMA DEPARTAMENTO LIMA;I-2;PROVINCIAL;DISTRITAL;1
6908;50408;AYACUCHO;HUANTA;LLOCHEGUA;-12.43457;-73.96054167;PUESTO DE SALUD CHIHUILLO ALTO SAN ANTONIO;CALLE CALLE PRINCIPAL CHIHUILLO SAN ANTONIO DISTRITO LLOCHEGUA PROVINCIA HUANTA DEPARTAMENTO AYACUCHO;I-1;PROVINCIAL;DISTRITAL;0
30228;100101;HUANUCO;HUANUCO;HUANUCO;-9.927915;-76.2361437;"CONSULTORIOS MEDICOS ESPECIALIZADOS ""MILAGRO DE FATIMA""";CONSTITUCION NUMERO 832 DISTRITO HUANUCO PROVINCIA HUANUCO DEPARTAMENTO HUANUCO;I-2;DISTRITAL;PROVINCIAL;0
10394;150202;LIMA;BARRANCA;PARAMONGA;-10.6745663;-77.8160806;CENTRO DE ATENCION PRIMARIA II PARAMONGA;AVENIDA AV. MIGUEL GRAU S/N - PARAMONGA NUMERO S/N DISTRITO PARAMONGA PROVINCIA BARRANCA DEPARTAMENTO LIMA;I-3;PROVINCIAL;DISTRITAL;0
1276;40107;AREQUIPA;AREQUIPA;JACOBO HUNTER;-16.43449;-71.56375167;PUESTO DE SALUD CAMINOS DEL INCA;AVENIDA AV. PAISAJISTA S/N NUMERO S/N DISTRITO JACOBO HUNTER PROVINCIA AREQUIPA DEPARTAMENTO AREQUIPA;I-2;PROVINCIAL;DISTRITAL;0
1290;40124;AREQUIPA;AREQUIPA;UCHUMAYO;-16.430706;-71.672756;PUESTO DE SALUD UCHUMAYO;CALLE CALLE BOLIVAR S/N  LOCALIDAD UCHUMAYO NUMERO S/N DISTRITO UCHUMAYO PROVINCIA AREQUIPA DEPARTAMENTO AREQUIPA;I-2;PROVINCIAL;DISTRITAL;0
1254;40128;AREQUIPA;AREQUIPA;YURA;-16.25090344;-71.68181062;PUESTO DE SALUD YURA;OTROS LA ESTACION DE YURA MZ. G LTE. 2 ZONA A DISTRITO YURA PROVINCIA AREQUIPA DEPARTAMENTO AREQUIPA;I-2;PROVINCIAL;DISTRITAL;0
1304;40102;AREQUIPA;AREQUIPA;ALTO SELVA ALEGRE;-16.37633305;-71.52628302;PUESTO DE SALUD HEROES DEL CENEPA;OTROS LOS EUCALIPTOS S/N PAMPAS DE POLANCO NUMERO S/N DISTRITO ALTO SELVA ALEGRE PROVINCIA AREQUIPA DEPARTAMENTO AREQUIPA;I-2;PROVINCIAL;DISTRITAL;0
30355;200115;PIURA;PIURA;VEINTISEIS DE OCTUBRE;-5.1957094;-80.652969;CONSULTORIO DENTAL DRA. DIANA LEON;AVENIDA LOS COCOS NUMERO 111 URBANIZACION CLUB GRAU DISTRITO PIURA PROVINCIA PIURA DEPARTAMENTO PIURA;I-1;PROVINCIAL;DISTRITAL;0
29985;140101;LAMBAYEQUE;CHICLAYO;CHICLAYO;-6.7765742;-79.8438519;CONSULTORIOS MEDICOS MI DULCE ESPERA;AVENIDA FRANCISCO BOLOGNESI NUMERO 120 PISO 1 DISTRITO CHICLAYO PROVINCIA CHICLAYO DEPARTAMENTO LAMBAYEQUE;I-2;DISTRITAL;PROVINCIAL;0
10117;170101;MADRE DE DIOS;TAMBOPATA;TAMBOPATA;-12.59350023;-69.18803058;CENTRO MEDICO CAYETANO;JR. ICA N∫ 865 DISTRITO TAMBOPATA PROVINCIA TAMBOPATA DEPARTAMENTO MADRE DE DIOS;I-3;DISTRITAL;PROVINCIAL;0
29823;50101;AYACUCHO;HUAMANGA;AYACUCHO;-13.15927179;-74.22787173;IN.PERIO CONSULTORIO ODONTOLOGICO ESPECIALIZADO;CALLAO NUMERO 236 PISO 1 DEPARTAMENTO 1 DISTRITO AYACUCHO PROVINCIA HUAMANGA DEPARTAMENTO AYACUCHO;I-1;PROVINCIAL;PROVINCIAL;0
24697;150140;LIMA;LIMA;SANTIAGO DE SURCO;-12.1276975;-77.0095468;CONSULTORIO ESTETICA LASER;AVENIDA ALFREDO BENAVIDES NUMERO 2549 INTERIOR 301 DISTRITO MIRAFLORES PROVINCIA LIMA DEPARTAMENTO LIMA;I-2;PROVINCIAL;DISTRITAL;0
6153;150143;LIMA;LIMA;VILLA MARIA DEL TRIUNFO;-12.1776988;-76.94539;CENTRO MATERNO INFANTIL DANIEL ALCIDES CARRION;AVENIDA AV. PACHACUTEC N∫ 3470 DISTRITO VILLA MARIA DEL TRIUNFO PROVINCIA LIMA DEPARTAMENTO LIMA;I-4;PROVINCIAL;DISTRITAL;0
21178;130101;LA LIBERTAD;TRUJILLO;TRUJILLO;-8.1090524;-79.0215336;DERMATOLOGIA CLINICA ALEGRE;AVENIDA AV METROPOLITANA/ II /MZ E 1/ L 8 /SAN ISIDRO DISTRITO TRUJILLO PROVINCIA TRUJILLO DEPARTAMENTO LA LIBERTAD;I-2;DISTRITAL;PROVINCIAL;0
1264;40129;AREQUIPA;AREQUIPA;JOSE LUIS BUSTAMANTE Y RIVERO;-16.45004288;-71.51231813;CENTRO DE SALUD LAS ESMERALDAS;AVENIDA AV. LAS ESMERALDAS MZ. F LTE. 5 APIS DISTRITO JOSE LUIS BUSTAMANTE Y RIVERO PROVINCIA AREQUIPA DEPARTAMENTO AREQUIPA;I-3;PROVINCIAL;DISTRITAL;0
17726;150114;LIMA;LIMA;LA MOLINA;-12.09028708;-76.95050932;SANNA CENTRO CLINICO LA MOLINA;AVENIDA AV. RAUL FERRERO REBAGLIATI MZ. C-2 LOTE 01 URB. EL REMANSO DE LA MOLINA I ETAPA DISTRITO LA MOLINA PROVINCIA LIMA DEPARTAMENTO LIMA;I-3;PROVINCIAL;DISTRITAL;0
6736;50112;AYACUCHO;HUAMANGA;SOCOS;-13.18234374;-74.31081081;PUESTO DE SALUD SAN RAFAEL;PLAZA PLAZA PRINCIPAL DISTRITO SOCOS PROVINCIA HUAMANGA DEPARTAMENTO AYACUCHO;I-1;PROVINCIAL;DISTRITAL;0
10190;230101;TACNA;TACNA;TACNA;-18.01367;-70.25099833;CENTRO  DE    ATENCION PRIMARIA  III  METROPOLITANO DE TACNA;AVENIDA AV. SAN MARTIN N∫  282 DISTRITO TACNA PROVINCIA TACNA DEPARTAMENTO TACNA;I-3;DISTRITAL;PROVINCIAL;0
12897;10101;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;-6.23005086;-77.86747828;CLINICA SAN FRANCISCO;JR. HERMOSURA N∫ 640 DISTRITO CHACHAPOYAS PROVINCIA CHACHAPOYAS DEPARTAMENTO AMAZONAS;I-4;PROVINCIAL;PROVINCIAL;0
12839;150131;LIMA;LIMA;SAN ISIDRO;-12.1088267;-77.0385747;CONSULTORIO MEDICO QUINTO;AVENIDA AV. EMILIO CAVENECIA 225 INT 612 DISTRITO SAN ISIDRO PROVINCIA LIMA DEPARTAMENTO LIMA;I-2;PROVINCIAL;DISTRITAL;0
13168;140301;LAMBAYEQUE;LAMBAYEQUE;LAMBAYEQUE;-6.6990365;-79.9076147;CONSULTORIO MILAGRITOS SALUD;CALLE CALLE LIBERTAD N∫ 620 DISTRITO LAMBAYEQUE PROVINCIA LAMBAYEQUE DEPARTAMENTO LAMBAYEQUE;I-2;DISTRITAL;PROVINCIAL;0
14822;150120;LIMA;LIMA;MAGDALENA DEL MAR;-12.0928742;-77.0700667;CENTRO DE ESTETICA DENTAL ORBEGOSO;JR ENRIQUE LLOSA (EX BOLOGNESI) 223, 1ER PISO DISTRITO MAGDALENA DEL MAR PROVINCIA LIMA DEPARTAMENTO LIMA;I-1;PROVINCIAL;DISTRITAL;0
10710;120101;JUNIN;HUANCAYO;HUANCAYO;-12.06489314;-75.20756589;POLICLINICO POLICIAL HUANCAYO;JR CUZCO N∫ 120 DISTRITO HUANCAYO PROVINCIA HUANCAYO DEPARTAMENTO JUNIN;I-3;DISTRITAL;PROVINCIAL;0
25845;150137;LIMA;LIMA;SANTA ANITA;-12.0495586;-76.9669676;CONSULTORIO DENTAL SEAëOR DE LUREN;AVENIDA LOS RUISEAëORES NUMERO 612 URBANIZACION SANTA ANITA DISTRITO SANTA ANITA PROVINCIA LIMA DEPARTAMENTO LIMA;I-1;PROVINCIAL;DISTRITAL;0
25066;40112;AREQUIPA;AREQUIPA;PAUCARPATA;-16.4176097;-71.4908727;CENTRO DE SALUD MENTAL COMUNITARIO AYELEN;CALLE MICAELA BASTIDAS NUMERO S/N DISTRITO PAUCARPATA PROVINCIA AREQUIPA DEPARTAMENTO AREQUIPA;I-3;PROVINCIAL;DISTRITAL;0
26193;150105;LIMA;LIMA;BRE—A;-12.0502081;-77.053568;"CENTRO MAâDICO ""CASASOLA""";PASAJE SANTIAGO ANTAöNEZ DE MAYOLO NUMERO 239 DISTRITO HUARAL PROVINCIA HUARAL DEPARTAMENTO LIMA;I-3;PROVINCIAL;DISTRITAL;0
18306;70101;CALLAO;CALLAO;CALLAO;-12.061051;-77.1435799;CENTRO DE ATENCIAìN PRIMARIA ALBERTO LEONARDO BARTON THOMPSON;AVENIDA AV.. SAENZ PEAëA 345 -373 CALLAO CALLAO CALLAO;I-2;PROVINCIAL;PROVINCIAL;0
30533;230101;TACNA;TACNA;TACNA;-18.0065679;-70.2462741;CONSULTORIO ODONTOLOGICO MARTORELL;AVENIDA CORONEL MENDOZA NUMERO 1078 DISTRITO TACNA PROVINCIA TACNA DEPARTAMENTO TACNA;I-1;DISTRITAL;PROVINCIAL;0
1259;40107;AREQUIPA;AREQUIPA;JACOBO HUNTER;-16.445535;-71.5545;CENTRO DE SALUD JAVIER LLOSA GARCIA -  HUNTER;CALLE CALLE CORDOVA 125 ESQUINA CON COSTA RICA DISTRITO JACOBO HUNTER PROVINCIA AREQUIPA DEPARTAMENTO AREQUIPA;I-4;PROVINCIAL;DISTRITAL;0
23508;140101;LAMBAYEQUE;CHICLAYO;CHICLAYO;-6.7871531;-79.8506584;POLICLINICO VIRGEN DE ALTA GRACIA;CALLE LOS OLIVOS NUMERO S/N MANZANA I LOTE 10 URBANIZACION LA FLORIDA DISTRITO CHICLAYO PROVINCIA CHICLAYO DEPARTAMENTO LAMBAYEQUE;I-3;DISTRITAL;PROVINCIAL;0
23488;40129;AREQUIPA;AREQUIPA;JOSE LUIS BUSTAMANTE Y RIVERO;-16.44374056;-71.51570533;CENTRO DE SALUD MENTAL COMUNITARIO SIMON BOLIVAR;AVENIDA CARACAS 807 SIMAìN BOLAçVAR A DOS CUADRAS DE LA COMISARIA DE SIMAìN BOLAçVAR JOSE LUIS BUSTAMANTE Y RIVERO AREQUIPA AREQUIPA;I-3;PROVINCIAL;DISTRITAL;0
21929;70102;CALLAO;CALLAO;BELLAVISTA;-12.0625;-77.129212;SANUS VITA CONSULTORIO DE MEDICINA FISICA DE REHABILITACION;AVENIDA AV. VENEZUELA N¬∞2283 URB. JARDINES VIRU BELLAVISTA DISTRITO BELLAVISTA PROVINCIA CALLAO DEPARTAMENTO CALLAO;I-2;PROVINCIAL;DISTRITAL;0
2923;230101;TACNA;TACNA;TACNA;-18.0196822;-70.23827298;PUESTO DE SALUD JESUS MARIA;CALLE URB. VILLA MARIA DEL TRIUNFO CALLE 2 DISTRITO TACNA PROVINCIA TACNA DEPARTAMENTO TACNA;I-2;DISTRITAL;PROVINCIAL;0
17672;150140;LIMA;LIMA;SANTIAGO DE SURCO;-12.1284775;-76.9971861;CONSULTORIO ODONTOLOGICO MOLIDENTS;AVENIDA AV. BENAVIDES N 3695 INTERIOR 106 DISTRITO SANTIAGO DE SURCO PROVINCIA LIMA DEPARTAMENTO LIMA;I-1;PROVINCIAL;DISTRITAL;1
15688;120101;JUNIN;HUANCAYO;HUANCAYO;-12.07265399;-75.20459522;CONSULTORIO ODONTOLOGICO PERFECCION;AVENIDA AVENIDA FERROCARRIL N¬∞ 1479 DISTRITO HUANCAYO PROVINCIA HUANCAYO DEPARTAMENTO JUNIN;I-1;DISTRITAL;PROVINCIAL;0
3411;110104;ICA;ICA;OCUCAJE;-14.49973;-75.633095;PUESTO DE SALUD CALLANGO;OTROS CASERIO CALLANGO S/N NUMERO S/N DISTRITO OCUCAJE PROVINCIA ICA DEPARTAMENTO ICA;I-1;PROVINCIAL;DISTRITAL;0
23792;160101;LORETO;MAYNAS;IQUITOS;-3.75561322;-73.25176671;clinica odonto stetic E.I.R.L;CALLE MOORE NUMERO 1015 DISTRITO IQUITOS PROVINCIA MAYNAS DEPARTAMENTO LORETO;I-3;DISTRITAL;PROVINCIAL;0
1378;40120;AREQUIPA;AREQUIPA;SANTA ISABEL DE SIGUAS;-16.27925769;-72.07759969;PUESTO DE SALUD SONDOR;PLAZA PLAZA PRINCIPAL S/N SONDOR NUMERO S/N DISTRITO SANTA ISABEL DE SIGUAS PROVINCIA AREQUIPA DEPARTAMENTO AREQUIPA;I-2;PROVINCIAL;DISTRITAL;0
1302;40102;AREQUIPA;AREQUIPA;ALTO SELVA ALEGRE;-16.3666543;-71.5249147;CENTRO DE SALUD INDEPENDENCIA;AVENIDA AVENIDA FRANCISCO MOSTAJO 601 DISTRITO ALTO SELVA ALEGRE PROVINCIA AREQUIPA DEPARTAMENTO AREQUIPA;I-3;PROVINCIAL;DISTRITAL;0
1279;40107;AREQUIPA;AREQUIPA;JACOBO HUNTER;-16.46142333;-71.555325;CENTRO DE SALUD UPIS PAISAJISTA;OTROS PUEBLO JOVEN UPIS PAISAJISTA E-17 PUEBLO JOVEN UPIS PAISAJISTA E-17 JACOBO HUNTER AREQUIPA AREQUIPA;I-3;PROVINCIAL;DISTRITAL;0
24380;150143;LIMA;LIMA;VILLA MARIA DEL TRIUNFO;-12.215283;-76.906848;CONSULTORIO DENTAL MEDINA;AVENIDA AVENIDA LIMA 1196 DISTRITO VILLA MARIA DEL TRIUNFO PROVINCIA LIMA DEPARTAMENTO LIMA;I-1;PROVINCIAL;DISTRITAL;0
16449;70104;CALLAO;CALLAO;LA PERLA;-12.06838652;-77.11501456;"CONSULTORIO ODONTOLOGICO ""LA MARINA""";AVENIDA AV. LA MARINA N∫ 608 DISTRITO LA PERLA PROVINCIA CALLAO DEPARTAMENTO CALLAO;I-1;PROVINCIAL;DISTRITAL;1
15683;70103;CALLAO;CALLAO;CARMEN DE LA LEGUA REYNOSO;-12.04158278;-77.09849081;CONSULTORIO MEDICO;AVENIDA AV. FAUCETT N¬∞ 376 DISTRITO CARMEN DE LA LEGUA-REYNOSO PROVINCIA CALLAO DEPARTAMENTO CALLAO;I-2;PROVINCIAL;DISTRITAL;0
23749;150117;LIMA;LIMA;LOS OLIVOS;-11.9956326;-77.0803561;CENTRO ODONTOLOGICO AMERICANO - LOS OLIVOS;AVENIDA CARLOS ALBERTO IZAGUIRRE NUMERO 1268 MANZANA K LOTE 8 URBANIZACION GAMARRA DE LEON VELARDE ANGELICA I ETAPA DISTRITO LOS OLIVOS PROVINCIA LIMA DEPARTAMENTO LIMA;I-3;PROVINCIAL;DISTRITAL;1
1295;40109;AREQUIPA;AREQUIPA;MARIANO MELGAR;-16.40465083;-71.49744255;CENTRO DE SALUD GENERALISIMO SAN MARTIN;AVENIDA AVENIDA ARGENTINA 1207 ALTO SAN MARTIN DISTRITO MARIANO MELGAR PROVINCIA AREQUIPA DEPARTAMENTO AREQUIPA;I-3;PROVINCIAL;DISTRITAL;0
19215;70104;CALLAO;CALLAO;LA PERLA;-12.0667652;-77.1256628;CONSULTORIO MEDICO SAN MIGUEL;AVENIDA AV. JOSE GALVEZ 978 DISTRITO LA PERLA PROVINCIA CALLAO DEPARTAMENTO CALLAO;I-2;PROVINCIAL;DISTRITAL;0
